codigo;denominacion;tipo;tipo_nombre;sub_codigo;abreviatura;orden
1;SOLES;1;MONEDA;;SOLES;1
2;DOLARES AMERICANOS;1;MONEDA;;DOLAR;2
1;MASCULINO;2;SEXO;;;1
2;FEMENINO;2;SEXO;;;2
3;SIN DEFINIR;2;SEXO;;;3
1;SOLTERO(A);3;ESTADO CIVIL;;;1
2;CASADO(A);3;ESTADO CIVIL;;;2
3;DIVORCIADO(A);3;ESTADO CIVIL;;;3
4;CONVIVIENTE;3;ESTADO CIVIL;;;4
5;VIUDO(A);3;ESTADO CIVIL;;;5
6;SEPARADO(A);3;ESTADO CIVIL;;;6
7;SIN DEFINIR;3;ESTADO CIVIL;;;7
1;NUEVO;4;ESTADO DE BIENES;;;1
2;BUEN ESTADO;4;ESTADO DE BIENES;;;2
3;REGULAR ESTADO;4;ESTADO DE BIENES;;;3
4;MAL ESTADO;4;ESTADO DE BIENES;;;4
5;EN PROCESO;4;ESTADO DE BIENES;;;5
1;ACTIVADO;5;SITUACION DE BIENES;;;1
2;BAJA TEMPORAL;5;SITUACION DE BIENES;;;2
3;BAJA DEFINITIVA;5;SITUACION DE BIENES;;;3
4;NO UBICADO;5;SITUACION DE BIENES;;;4
1;PENDIENTE;6;SITUACION CUOTAS ORDINARIAS;;;1
2;ANULADO;6;SITUACION CUOTAS ORDINARIAS;;;2
3;FRACCIONADO;6;SITUACION CUOTAS ORDINARIAS;;;3
4;PAGADO;6;SITUACION CUOTAS ORDINARIAS;;;4
5;EXONERADO;6;SITUACION CUOTAS ORDINARIAS;;;5
6;ELIMINADO;6;SITUACION CUOTAS ORDINARIAS;;;6
7;NULO;6;SITUACION CUOTAS ORDINARIAS;;;7
1;ESPOSO(A);7;PARENTESCO;;;1
2;CONCUBINO(A);7;PARENTESCO;;;2
3;HIJO(A);7;PARENTESCO;;;3
4;PADRE;7;PARENTESCO;;;4
5;MADRE;7;PARENTESCO;;;5
6;ABUELO(A);7;PARENTESCO;;;6
7;AHIJADO(A);7;PARENTESCO;;;7
8;AMIGO(A);7;PARENTESCO;;;8
9;BISABUELO(A);7;PARENTESCO;;;9
10;CONVIVIENTE;7;PARENTESCO;;;10
11;CUÑADO(A);7;PARENTESCO;;;11
12;HERMANO(A);7;PARENTESCO;;;12
13;NIETO(A);7;PARENTESCO;;;13
14;NOVIO(A);7;PARENTESCO;;;14
15;PRIMO(A);7;PARENTESCO;;;15
16;SOBRINO(A);7;PARENTESCO;;;16
17;SUEGRA(A);7;PARENTESCO;;;17
18;TIO(A);7;PARENTESCO;;;18
19;TITULAR;7;PARENTESCO;;;19
20;SIN DEFINIR;7;PARENTESCO;;;20
1;ONP;8;SEGURO SOCIAL;;;1
2;PRIMA;8;SEGURO SOCIAL;;;2
3;INTEGRA;8;SEGURO SOCIAL;;;3
4;PROFUTURO;8;SEGURO SOCIAL;;;4
5;HABITAT;8;SEGURO SOCIAL;;;5
6;SIN DEFINIR;8;SEGURO SOCIAL;;;6
1;DNI;9;TIPO DOCUMENTO CLIENTE;;;1
2;CARNÉ DE EXTRANJERÍA;9;TIPO DOCUMENTO CLIENTE;;;2
3;PASAPORTE;9;TIPO DOCUMENTO CLIENTE;;;3
4;CEDULA DIPLOMATICA DE IDENTIDAD;9;TIPO DOCUMENTO CLIENTE;;;4
5;RUC;9;TIPO DOCUMENTO CLIENTE;;;5
6;OTROS DOCUMENTOS DE IDENTIDAD;9;TIPO DOCUMENTO CLIENTE;;;6
7;SIN DEFINIR;9;TIPO DOCUMENTO CLIENTE;;;7
1;BASICO;10;GRADO DE CONOCIMIENTO;;;1
2;INTERMEDIO;10;GRADO DE CONOCIMIENTO;;;2
3;AVANZADO;10;GRADO DE CONOCIMIENTO;;;3
1;EFECTIVO;11;CONDICION PAGO;;;1
2;VISANET;11;CONDICION PAGO;;;2
3;ABONO DIRECTO;11;CONDICION PAGO;;;3
4;CHEQUE;11;CONDICION PAGO;;;4
5;EFECTIVO DOLARES;11;CONDICION PAGO;;;5
6;POR COBRAR;11;CONDICION PAGO;;;6
7;CANJE;11;CONDICION PAGO;;;7
8;AJUSTE DE CHEQUE;11;CONDICION PAGO;;;8
9;AJUSTE DE ABONO;11;CONDICION PAGO;;;9
10;PAGO LINK NIUBIZ;11;CONDICION PAGO;;;10
11;SISTEMA DE RECAUDACION INTERBANK;11;CONDICION PAGO;;;11
12;NIUBIZ POS;11;CONDICION PAGO;;;12
13;NIUBIZ PAGO WEB;11;CONDICION PAGO;;;13
1;CONTADO;12;FORMA DE PAGO;;;1
2;CREDITO SIN LETRA;12;FORMA DE PAGO;;;2
3;CREDITO CON LETRA;12;FORMA DE PAGO;;;3
4;CANJE;12;FORMA DE PAGO;;;4
1;INGRESO;13;TIPO DE CENTRO COSTO;;;1
2;EGRESO;13;TIPO DE CENTRO COSTO;;;2
1;CANCELADO;14;SITUACION DOCUMENTO VENTA;;;1
2;ANULADO;14;SITUACION DOCUMENTO VENTA;;;2
3;PENDIENTE;14;SITUACION DOCUMENTO VENTA;;;3
1;TITULAR;15;PARENTESCO SEGURO;;;1
2;DEPENDIENTE;15;PARENTESCO SEGURO;;;2
3;TITULAR Y DEPENDIENTE;15;PARENTESCO SEGURO;;;3
4;DEPENDIENTE HIJO;15;PARENTESCO SEGURO;;;4
1;BANCO CREDITO DEL PERU;16;BANCOS;;;1
2;BANCO INTERBANK;16;BANCOS;;;2
1;PENDIENTE;17;SITUACION IMPORTACION BANCARIZACION;;;1
2;GENERADO;17;SITUACION IMPORTACION BANCARIZACION;;;2
1;ANULACION DE LA OPERACION;18;TIPO NOTA CREDITO;;;1
2;ANULACION POR ERROR DE RUC;18;TIPO NOTA CREDITO;;;2
3;CORRECION POR ERROR EN LA DESCRIPCION;18;TIPO NOTA CREDITO;;;3
4;DESCUENTO GLOBAL;18;TIPO NOTA CREDITO;;;4
5;DESCUENTO POR ITEM;18;TIPO NOTA CREDITO;;;5
6;DEVOLUCION TOTAL;18;TIPO NOTA CREDITO;;;6
7;DEVOLUCION POR ITEM;18;TIPO NOTA CREDITO;;;7
8;DISMINUCION EN EL VALOR;18;TIPO NOTA CREDITO;;;8
1;AUMENTO EN EL VALOR;19;TIPO NOTA DEBITO;;;1
1;GENERADO;20;SITUACION FRACCIONAMIENTO;;;1
2;ANULADO;20;SITUACION FRACCIONAMIENTO;;;2
3;APROBADO;20;SITUACION FRACCIONAMIENTO;;;3
1;PENDIENTE;21;SITUACION COMPROBANTE POR COBRAR;;;1
2;CANCELADO;21;SITUACION COMPROBANTE POR COBRAR;;;2
3;ANULADO;21;SITUACION COMPROBANTE POR COBRAR;;;3
1;LUNES;22;DIA DE LA SEMANA;;;1
2;MARTES;22;DIA DE LA SEMANA;;;2
3;MIÉRCOLES;22;DIA DE LA SEMANA;;;3
4;JUEVES;22;DIA DE LA SEMANA;;;4
5;VIERNES;22;DIA DE LA SEMANA;;;5
6;SÁBADO;22;DIA DE LA SEMANA;;;6
7;DOMINGO;22;DIA DE LA SEMANA;;;7
1;MENSUAL;23;TIPO PLANILLA;;;1
2;COMPLEMENTARIA;23;TIPO PLANILLA;;;2
3;REINTEGRO;23;TIPO PLANILLA;;;3
1;ENVIADO;24;ESTADO DE ENVIO EMAIL;;;1
2;NO ENVIADO;24;ESTADO DE ENVIO EMAIL;;;2
3;RECIBIDO;24;ESTADO DE ENVIO EMAIL;;;3
1;INGLES;25;IDIOMA;;;1
2;FRANCES;25;IDIOMA;;;2
3;ITALIANO;25;IDIOMA;;;3
4;PORTUGUES;25;IDIOMA;;;4
5;ALEMAN;25;IDIOMA;;;5
6;JAPONES;25;IDIOMA;;;6
7;QUECHUA;25;IDIOMA;;;7
8;TURCO;25;IDIOMA;;;8
9;HEBREO;25;IDIOMA;;;9
10;ESLOVENO;25;IDIOMA;;;10
11;CATALAN;25;IDIOMA;;;11
12;RUSO;25;IDIOMA;;;12
13;UCRANIANO;25;IDIOMA;;;13
14;HOLANDES;25;IDIOMA;;;14
15;PAPIAMENTO;25;IDIOMA;;;15
16;CHINO MANDARIN;25;IDIOMA;;;16
17;COREANO;25;IDIOMA;;;17
1;O Positivo;26;GRUPO SANGUINEO;;;1
2;O Negativo;26;GRUPO SANGUINEO;;;2
3;A Negativo;26;GRUPO SANGUINEO;;;3
4;A Positivo;26;GRUPO SANGUINEO;;;4
5;B Negativo;26;GRUPO SANGUINEO;;;5
6;B Positivo;26;GRUPO SANGUINEO;;;6
7;AB Positivo;26;GRUPO SANGUINEO;;;7
8;AB Negativo;26;GRUPO SANGUINEO;;;8
1;CAJA 01;27;CAJA;;;1
2;CAJA 02;27;CAJA;;;2
3;CAJA 03;27;CAJA;;;3
4;CAJA 04;27;CAJA;;;4
